PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,3.0,7289.0,29.0,"[0.0, 0.0, 0.0]",3.0,0.0,195.0,0.175
2.0,24.0,1.0,7290.0,29.0,"[0.0, 0.0, 0.0]",3.0,0.0,84.0,0.176
2.0,24.0,2.0,7291.0,29.0,"[0.0, 0.0, 0.0]",3.0,0.0,159.0,0.177
2.0,24.0,3.0,7296.0,30.0,"[0.0, 0.0, 0.0]",3.0,0.0,178.0,0.182
2.0,24.0,2.0,7297.0,30.0,"[0.0, 0.0, 0.0]",3.0,0.0,39.0,0.183
2.0,24.0,1.0,7298.0,30.0,"[0.0, 0.0, 0.0]",3.0,0.0,159.0,0.184
2.0,24.0,2.0,7302.0,31.0,"[0.0, 0.0, 0.0]",3.0,0.0,46.0,0.188
2.0,24.0,1.0,7303.0,31.0,"[0.0, 0.0, 0.0]",3.0,0.0,229.0,0.189
2.0,24.0,3.0,7304.0,31.0,"[0.0, 0.0, 0.0]",3.0,0.0,95.0,0.19
2.0,24.0,3.0,7308.0,32.0,"[0.0, 0.0, 0.0]",3.0,0.0,206.0,0.194
2.0,24.0,2.0,7309.0,32.0,"[0.0, 0.0, 0.0]",3.0,0.0,91.0,0.195
2.0,24.0,1.0,7312.0,32.0,"[0.0, 0.0, 0.0]",3.0,0.0,44.0,0.198
2.0,24.0,3.0,7317.0,33.0,"[0.0, 0.0, 0.0]",3.0,0.0,8.0,0.203
2.0,24.0,2.0,7320.0,33.0,"[0.0, 0.0, 0.0]",3.0,0.0,176.0,0.206
2.0,24.0,1.0,7321.0,33.0,"[0.0, 0.0, 0.0]",3.0,0.0,123.0,0.207
2.0,24.0,3.0,7331.0,34.0,"[0.0, 0.0, 0.0]",3.0,0.0,67.0,0.217
2.0,24.0,1.0,7332.0,34.0,"[0.0, 0.0, 0.0]",3.0,0.0,50.0,0.218
2.0,24.0,2.0,7333.0,34.0,"[0.0, 0.0, 0.0]",3.0,0.0,249.0,0.219
2.0,24.0,3.0,7336.0,35.0,"[0.0, 0.0, 0.0]",3.0,0.0,103.0,0.222
2.0,24.0,1.0,7337.0,35.0,"[0.0, 0.0, 0.0]",3.0,0.0,131.0,0.223
2.0,24.0,2.0,7338.0,35.0,"[0.0, 0.0, 0.0]",3.0,0.0,59.0,0.224
2.0,24.0,3.0,7342.0,36.0,"[0.0, 0.0, 0.0]",3.0,0.0,0.0,0.228
2.0,24.0,1.0,7343.0,36.0,"[0.0, 0.0, 0.0]",3.0,0.0,228.0,0.229
2.0,24.0,2.0,7344.0,36.0,"[0.0, 0.0, 0.0]",3.0,0.0,224.0,0.23
2.0,24.0,2.0,7349.0,37.0,"[0.0, 0.0, 0.0]",3.0,0.0,154.0,0.235
2.0,24.0,3.0,7350.0,37.0,"[0.0, 0.0, 0.0]",3.0,0.0,124.0,0.236
2.0,24.0,1.0,7351.0,37.0,"[0.0, 0.0, 0.0]",3.0,0.0,152.0,0.237
2.0,24.0,2.0,7354.0,38.0,"[0.0, 0.0, 0.0]",3.0,0.0,20.0,0.24
