PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,3.0,6771.0,30.0,"[0.0, 0.0, 0.0]",3.0,0.0,149.0,0.253
2.0,24.0,1.0,6772.0,30.0,"[0.0, 0.0, 0.0]",3.0,0.0,228.0,0.254
2.0,24.0,2.0,6773.0,30.0,"[0.0, 0.0, 0.0]",3.0,0.0,47.0,0.255
2.0,24.0,2.0,6778.0,31.0,"[0.0, 0.0, 0.0]",3.0,0.0,237.0,0.26
2.0,24.0,1.0,6779.0,31.0,"[0.0, 0.0, 0.0]",3.0,0.0,38.0,0.261
2.0,24.0,3.0,6780.0,31.0,"[0.0, 0.0, 0.0]",3.0,0.0,87.0,0.262
2.0,24.0,2.0,6785.0,32.0,"[0.0, 0.0, 0.0]",3.0,0.0,242.0,0.267
2.0,24.0,1.0,6786.0,32.0,"[0.0, 0.0, 0.0]",3.0,0.0,74.0,0.268
2.0,24.0,3.0,6787.0,32.0,"[0.0, 0.0, 0.0]",3.0,0.0,174.0,0.269
2.0,24.0,2.0,6794.0,33.0,"[0.0, 0.0, 0.0]",3.0,0.0,214.0,0.276
2.0,24.0,1.0,6795.0,33.0,"[0.0, 0.0, 0.0]",3.0,0.0,29.0,0.277
2.0,24.0,3.0,6796.0,33.0,"[0.0, 0.0, 0.0]",3.0,0.0,108.0,0.278
2.0,24.0,3.0,6800.0,34.0,"[0.0, 0.0, 0.0]",3.0,0.0,186.0,0.282
2.0,24.0,1.0,6801.0,34.0,"[0.0, 0.0, 0.0]",3.0,0.0,94.0,0.283
2.0,24.0,2.0,6802.0,34.0,"[0.0, 0.0, 0.0]",3.0,0.0,230.0,0.284
2.0,24.0,2.0,6812.0,35.0,"[0.0, 0.0, 0.0]",3.0,0.0,158.0,0.294
2.0,24.0,1.0,6813.0,35.0,"[0.0, 0.0, 0.0]",3.0,0.0,85.0,0.295
2.0,24.0,3.0,6814.0,35.0,"[0.0, 0.0, 0.0]",3.0,0.0,194.0,0.296
2.0,24.0,2.0,6818.0,36.0,"[0.0, 0.0, 0.0]",3.0,0.0,134.0,0.3
2.0,24.0,1.0,6820.0,36.0,"[0.0, 0.0, 0.0]",3.0,0.0,98.0,0.302
2.0,24.0,3.0,6821.0,36.0,"[0.0, 0.0, 0.0]",3.0,0.0,134.0,0.303
2.0,24.0,1.0,6825.0,37.0,"[0.0, 0.0, 0.0]",3.0,0.0,211.0,0.307
2.0,24.0,2.0,6826.0,37.0,"[0.0, 0.0, 0.0]",3.0,0.0,107.0,0.308
2.0,24.0,3.0,6827.0,37.0,"[0.0, 0.0, 0.0]",3.0,0.0,254.0,0.309
2.0,24.0,3.0,6831.0,38.0,"[0.0, 0.0, 0.0]",3.0,0.0,114.0,0.313
2.0,24.0,2.0,6833.0,38.0,"[0.0, 0.0, 0.0]",3.0,0.0,146.0,0.315
2.0,24.0,1.0,6834.0,38.0,"[0.0, 0.0, 0.0]",3.0,0.0,42.0,0.316
2.0,24.0,1.0,6840.0,39.0,"[0.0, 0.0, 0.0]",3.0,0.0,180.0,0.322
2.0,24.0,2.0,6841.0,39.0,"[0.0, 0.0, 0.0]",3.0,0.0,127.0,0.323
2.0,24.0,3.0,6844.0,39.0,"[0.0, 0.0, 0.0]",3.0,0.0,12.0,0.326
2.0,24.0,2.0,6848.0,40.0,"[0.0, 0.0, 0.0]",3.0,0.0,53.0,0.33
2.0,24.0,3.0,6849.0,40.0,"[0.0, 0.0, 0.0]",3.0,0.0,160.0,0.331
2.0,24.0,1.0,6850.0,40.0,"[0.0, 0.0, 0.0]",3.0,0.0,55.0,0.332
2.0,24.0,3.0,6858.0,41.0,"[0.0, 0.0, 0.0]",3.0,0.0,132.0,0.34
2.0,24.0,2.0,6859.0,41.0,"[0.0, 0.0, 0.0]",3.0,0.0,17.0,0.341
2.0,24.0,1.0,6861.0,41.0,"[0.0, 0.0, 0.0]",3.0,0.0,245.0,0.343
2.0,24.0,3.0,6865.0,42.0,"[0.0, 0.0, 0.0]",3.0,0.0,125.0,0.347
2.0,24.0,1.0,6866.0,42.0,"[0.0, 0.0, 0.0]",3.0,0.0,234.0,0.348
2.0,24.0,2.0,6867.0,42.0,"[0.0, 0.0, 0.0]",3.0,0.0,33.0,0.349
2.0,24.0,1.0,6871.0,43.0,"[0.0, 0.0, 0.0]",3.0,0.0,144.0,0.353
2.0,24.0,3.0,6873.0,43.0,"[0.0, 0.0, 0.0]",3.0,0.0,144.0,0.355
2.0,24.0,2.0,6874.0,43.0,"[0.0, 0.0, 0.0]",3.0,0.0,118.0,0.356
2.0,24.0,3.0,6878.0,44.0,"[0.0, 0.0, 0.0]",3.0,0.0,77.0,0.36
2.0,24.0,1.0,6879.0,44.0,"[0.0, 0.0, 0.0]",3.0,0.0,169.0,0.361
2.0,24.0,3.0,6881.0,44.0,"[0.0, 0.0, 0.0]",3.0,0.0,29.0,0.363
2.0,24.0,2.0,6882.0,44.0,"[0.0, 0.0, 0.0]",3.0,0.0,251.0,0.364
2.0,24.0,2.0,6886.0,45.0,"[0.0, 0.0, 0.0]",3.0,0.0,59.0,0.368
2.0,24.0,3.0,6887.0,45.0,"[0.0, 0.0, 0.0]",3.0,0.0,174.0,0.369
2.0,24.0,1.0,6888.0,45.0,"[0.0, 0.0, 0.0]",3.0,0.0,20.0,0.37
2.0,24.0,2.0,6891.0,46.0,"[0.0, 0.0, 0.0]",3.0,0.0,198.0,0.373
2.0,24.0,1.0,6892.0,46.0,"[0.0, 0.0, 0.0]",3.0,0.0,152.0,0.374
2.0,24.0,3.0,6897.0,46.0,"[0.0, 0.0, 0.0]",3.0,0.0,192.0,0.379
2.0,24.0,2.0,6904.0,47.0,"[0.0, 0.0, 0.0]",3.0,0.0,184.0,0.386
2.0,24.0,1.0,6905.0,47.0,"[0.0, 0.0, 0.0]",3.0,0.0,115.0,0.387
2.0,24.0,3.0,6909.0,47.0,"[0.0, 0.0, 0.0]",3.0,0.0,203.0,0.391
2.0,24.0,3.0,6915.0,48.0,"[0.0, 0.0, 0.0]",3.0,0.0,106.0,0.397
2.0,24.0,1.0,6916.0,48.0,"[0.0, 0.0, 0.0]",3.0,0.0,27.0,0.398
2.0,24.0,2.0,6917.0,48.0,"[0.0, 0.0, 0.0]",3.0,0.0,208.0,0.399
2.0,24.0,3.0,6921.0,49.0,"[0.0, 0.0, 0.0]",3.0,0.0,244.0,0.403
2.0,24.0,2.0,6922.0,49.0,"[0.0, 0.0, 0.0]",3.0,0.0,18.0,0.404
2.0,24.0,1.0,6924.0,49.0,"[0.0, 0.0, 0.0]",3.0,0.0,246.0,0.406
2.0,24.0,1.0,6927.0,50.0,"[0.0, 0.0, 0.0]",3.0,0.0,85.0,0.409
2.0,24.0,2.0,6932.0,50.0,"[0.0, 0.0, 0.0]",3.0,0.0,183.0,0.414
2.0,24.0,3.0,6934.0,50.0,"[0.0, 0.0, 0.0]",3.0,0.0,235.0,0.416
2.0,24.0,3.0,6937.0,51.0,"[0.0, 0.0, 0.0]",3.0,0.0,41.0,0.419
2.0,24.0,2.0,6939.0,51.0,"[0.0, 0.0, 0.0]",3.0,0.0,117.0,0.421
2.0,24.0,1.0,6942.0,51.0,"[0.0, 0.0, 0.0]",3.0,0.0,88.0,0.424
2.0,24.0,1.0,6945.0,52.0,"[0.0, 0.0, 0.0]",3.0,0.0,250.0,0.427
2.0,24.0,3.0,6946.0,52.0,"[0.0, 0.0, 0.0]",3.0,0.0,109.0,0.428
2.0,24.0,2.0,6947.0,52.0,"[0.0, 0.0, 0.0]",3.0,0.0,248.0,0.429
2.0,24.0,3.0,6950.0,53.0,"[0.0, 0.0, 0.0]",3.0,0.0,173.0,0.432
2.0,24.0,2.0,6951.0,53.0,"[0.0, 0.0, 0.0]",3.0,0.0,56.0,0.433
2.0,24.0,1.0,6952.0,53.0,"[0.0, 0.0, 0.0]",3.0,0.0,173.0,0.434
2.0,24.0,2.0,6957.0,54.0,"[0.0, 0.0, 0.0]",3.0,0.0,234.0,0.439
2.0,24.0,1.0,6958.0,54.0,"[0.0, 0.0, 0.0]",3.0,0.0,82.0,0.44
2.0,24.0,3.0,6959.0,54.0,"[0.0, 0.0, 0.0]",3.0,0.0,182.0,0.441
2.0,24.0,3.0,6963.0,55.0,"[0.0, 0.0, 0.0]",3.0,0.0,44.0,0.445
2.0,24.0,2.0,6964.0,55.0,"[0.0, 0.0, 0.0]",3.0,0.0,44.0,0.446
2.0,24.0,1.0,6965.0,55.0,"[0.0, 0.0, 0.0]",3.0,0.0,231.0,0.447
2.0,24.0,2.0,6969.0,56.0,"[0.0, 0.0, 0.0]",3.0,0.0,126.0,0.451
